N,resampling,q50_error,q80_error,q90_error,q95_error,sub_meter_quantile,variance,mc_variance,run_time
100,0,1.9472552964419907,4.171420866124171,5.7475161196904105,7.940906947825039,0.27523148148148147,NA,16.01938315587308,6.501175387700399
1000,0,1.0518037863879897,2.005961927491478,2.6021229142299216,3.2663307398403796,0.4804783950617284,NA,1.4057277622706663,13.517745463053386
10000,0,0.8768907014288441,1.6569418319634173,2.059468554123901,2.4802937755624113,0.5536265432098766,NA,0.0929970627780353,76.08072321414947
100,0.1,0.8640376991182005,1.6082669521869681,2.000986764474494,2.34418296559829,0.5688271604938271,0.5265409347984605,0.09663312203532716,6.677289867401123
1000,0.1,0.8632742970280645,1.6080451137909197,2.009609509525592,2.32517022273277,0.5749228395061728,1.1586704209580874,0.01788715282349268,13.58041799068451
10000,0.1,0.860308907227151,1.6095710713984188,1.9950463343098892,2.3159175854140144,0.5762345679012346,0.6429180263994474,0.00462419547780288,75.23995802402496
100,0.6666666666666666,0.8777400719171227,1.6137236369672743,2.0045957518635737,2.3454596206164906,0.5597222222222222,0.8727069414867622,0.06435982152978778,6.6424184481302895
1000,0.6666666666666666,0.8619905714206817,1.6103381239277739,2.0031373721299355,2.303799619461995,0.5760802469135803,0.9857892389702866,0.01073858939787779,13.670628968874613
10000,0.6666666666666666,0.8602374664409667,1.6092593952009975,2.000407052249792,2.2968366356170846,0.5766975308641975,0.4572180133441529,0.00262778693365054,75.38158480326335
100,1,0.8767192900759454,1.6131384882246167,2.0158086858340507,2.379898534956037,0.5648148148148148,0.8751320860780288,0.06184007212087113,7.158774240811666
1000,1,0.8586726348945355,1.6136483073171906,2.006565218003617,2.319431574527172,0.575462962962963,1.0030464862853203,0.011054615273600044,14.429507859547932
10000,1,0.8598946597331968,1.614760756395935,2.0013650421246942,2.2951721199232664,0.5766975308641975,0.46042356560704656,0.0028757101528084457,77.63920613924662
